143	793	135	
143	135	7209	
143	7209	7278	
143	7278	7277	
143	7277	831	
143	831	19961	
143	19961	815	
143	815	793	
793	19473	19472	
831	7277	3665	
831	3665	20192	
831	20192	20081	
831	20081	19961	
7277	20332	20331	
146	2080	20090	
146	20090	7287	
146	7287	2121	
146	2121	2132	
146	2132	20460	
146	20460	2120	
146	2120	20341	
146	20341	19979	
146	19979	816	
146	816	2080	
816	19979	19758	
816	19758	19878	
2121	7505	2132	
2132	7505	7417	
2132	7417	20460	
147	2071	2084	
147	2084	7307	
147	7307	7375	
147	7375	7376	
147	7376	2095	
147	2095	2071	
2071	19698	2084	
2084	19698	20136	
2084	20136	20387	
2084	20387	7307	
7307	20387	7533	
7307	20506	7308	
7307	7308	7375	
148	878	144	
148	144	7345	
148	7345	7491	
148	7491	897	
148	897	878	
878	897	898	
878	898	7211	
897	918	898	
149	20105	844	
149	844	20356	
149	20356	3697	
149	3697	20354	
149	20354	20583	
149	20583	7297	
149	7297	20105	
844	3697	20356	
3697	19900	6952	
3697	7222	20354	
7297	20583	7523	
7297	7523	7525	
7297	20109	20105	
150	3720	7323	
150	7323	7457	
150	7457	7386	
150	7386	2099	
150	2099	7183	
150	7183	3720	
2099	7386	7385	
2099	7385	3743	
2099	20530	3720	
2099	3720	7183	
3720	20532	7323	
7323	20532	20528	
7323	20528	20414	
7386	7655	7654	
7457	7458	7551	
151	7210	7282	
151	7282	898	
151	898	918	
151	918	152	
151	152	7493	
151	7493	920	
151	920	899	
151	899	7281	
151	7281	7210	
152	918	7687	
152	7687	942	
152	942	7493	
898	7282	7211	
920	7493	20866	
153	2149	2134	
153	2134	20578	
153	20578	7713	
153	7713	21005	
153	21005	2160	
153	2160	2149	
2134	2149	20348	
2134	20348	20214	
2134	20214	20349	
2134	20349	20578	
2160	7711	7618	
7713	20578	7714	
7713	7714	21005	
21005	21227	21225	
154	897	7491	
154	7491	157	
154	157	160	
154	160	975	
154	975	918	
154	918	897	
157	7491	7492	
157	2153	20987	
160	1039	21294	
160	21294	975	
918	975	7687	
975	21294	976	
975	976	7687	
155	942	7687	
155	7687	976	
155	976	21088	
155	21088	20985	
155	20985	942	
942	20985	20866	
942	20866	7493	
976	21294	21088	
20985	21205	21204	
156	7644	7645	
156	7645	20804	
156	20804	1018	
